Nxde,(여자)아이들
ANTIFRAGILE,LE SSERAFIM (르세라핌)
사건의 지평선,윤하(Younha/ユンナ)
Hype Boy,NewJeans
After LIKE,IVE (아이브)
Attention,NewJeans
Shut Down,BLACKPINK
새삥 (Prod. ZICO) (Feat. 호미들),지코
자격지심 (Feat. ZICO),BE'O (비오)
Rush Hour (Feat. j-hope of BTS),Crush
LOVE DIVE,IVE (아이브)
Pink Venom,BLACKPINK
When I Get Old,Christopher(크리스토퍼)
Monologue,테이(Tei)
Anti-Hero,Taylor Swift(테일러 스위프트)
I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
Remembered,박봄 (Park Bom)
Cookie,NewJeans
딱 10CM만,10CM
우린 그렇게 사랑해서,강민경
FEARLESS,LE SSERAFIM (르세라핌)
TOMBOY,(여자)아이들
그라데이션,10CM
파노라마,이찬혁
ILLELLA (일낼라),마마무(Mamamoo)
The Astronaut,진(Jin)
ELEVEN,IVE (아이브)
진심이었던 사람만 바보가 돼,권진아
그래서 그대는,이영현
DICE,NMIXX
그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
사랑인가 봐,멜로망스(MeloMance)
Change,(여자)아이들
LAW (Prod. Czaer),윤미래
That's Hilarious,Charlie Puth(찰리 푸스)
LOVE me,BE'O (비오)
해요 (2022),#안녕
FOREVER 1,소녀시대 (GIRLS' GENERATION)
도깨비불 (Illusion),aespa
너의 모든 순간,성시경
다정히 내 이름을 부르면,경서예지
내가 아니라도,주호
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
나의 X에게,경서
보고싶었어,WSG워너비 (4FIRE)
Talk that Talk,TWICE (트와이스)
Dangerously,Charlie Puth(찰리 푸스)
Unholy,Sam Smith(샘 스미스)
떠나보낼 준비해 둘걸 그랬어,임한별
SNEAKERS,ITZY (있지)
strawberry moon,아이유(IU)
가을밤에 든 생각,잔나비
주저하는 연인들을 위해,잔나비
오지 않는 사람아,백지영
Love story,볼빨간사춘기
고백연습,경서
Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
우리가 남이 된다면,노을
STAY,The Kid LAROI
내 기쁨은 너가 벤틀리를 끄는 거야,김승민
드라마,아이유(IU)
I Ain't Worried,OneRepublic(원리퍼블릭)
그때로 돌아가,로이킴
Feel My Rhythm,Red Velvet (레드벨벳)
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
INVU,태연 (TAEYEON)
사랑은 늘 도망가,임영웅
스티커 사진,21학번
봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
Off My Face,Justin Bieber(저스틴 비버)
취중고백,김민석 (멜로망스)
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
팡파레,다비치
LOVE,(여자)아이들
POP!,나연 (TWICE)
GHOST TOWN,Benson Boone
MY BAG,(여자)아이들
못해,김나영
That That (prod. & feat. SUGA of BTS),싸이 (PSY)
Loser,Charlie Puth(찰리 푸스)
신호등,이무진
Hurt,NewJeans
Girls,aespa
시절인연 (時節因緣),이찬원
Ready For Love,BLACKPINK
No Rules,백호
No Celestial,LE SSERAFIM (르세라핌)
새벽에 걸려온 너의 전화는,한동근
28 Reasons,슬기(SEULGI)
SUN GOES DOWN (Prod. R.Tee),저스디스(JUSTHIS)
Next Level,aespa
CASE 143,Stray Kids (스트레이 키즈)
Celebrity,아이유(IU)
DOMESTIC (팔각정),비
Good Parts (when the quality is bad but I am),LE SSERAFIM (르세라핌)
사랑한다고 말해줘,탑현
Impurities,LE SSERAFIM (르세라핌)
밤편지,아이유(IU)
첫사랑,백아(Baek A)
Weekend,태연 (TAEYEON)
